Customer_ID,Month,Age,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Payment_of_Min_Amount
11426,2022-01-12,28,1418.945416666667,5,7,10,4,"Student Loan, Home Equity Loan, Mortgage Loan, and Mortgage Loan",21,16,172.94,No
10820,2022-01-12,45,2266.6466666666665,3,10,15,7,"Personal Loan, Auto Loan, Auto Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, and Debt Consolidation Loan",9,17,1962.25,Yes
10226,2022-01-12,33,2257.898333333333,4,4,7,2,"Credit-Builder Loan, and Student Loan",5,1,702.2,No
10058,2022-01-12,39,10523.7025,2,4,4,2,"Home Equity Loan, and Mortgage Loan",28,12,1314.09,No
11926,2022-01-12,21,2729.352816706089,3,6,9,2,"Credit-Builder Loan, and Not Specified",6,16,1307.01,No
10536,2022-01-12,36,900.23,8,6,25,8,"Student Loan, Student Loan, Payday Loan, Student Loan, Payday Loan, Personal Loan, Personal Loan, and Mortgage Loan",31,24,4831.44,Yes
10810,2022-01-12,27,729.8137499999998,10,6,16,5,"Debt Consolidation Loan, Not Specified, Mortgage Loan, Payday Loan, and Credit-Builder Loan",55,23,1824.45,Yes
12375,2022-01-12,35,4677.8525,5,7,15,6,"Auto Loan, Personal Loan, Personal Loan, Not Specified, Debt Consolidation Loan, and Mortgage Loan",2,9,1294.13,Yes
10672,2022-01-12,55,7233.22,0,7,9,3,"Mortgage Loan, Student Loan, and Student Loan",0,11,1454.14,No
10667,2022-01-12,29,2116.585833333333,8,7,10,0,No Loan,28,11,1406.85,Yes
11572,2022-01-12,30,6113.5675,7,6,12,1,Mortgage Loan,10,14,1063.69,Yes
11587,2022-01-12,29,2479.1775,4,5,11,3,"Credit-Builder Loan, Home Equity Loan, and Credit-Builder Loan",11,17,1175.57,Yes
11932,2022-01-12,46,2890.6766666666667,1,5,12,2,"Student Loan, and Auto Loan",6,0,1316.73,No
11927,2022-01-12,29,3715.908333333333,3,7,6,4,"Mortgage Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",11,11,1347.65,No
11156,2022-01-12,26,4845.000733864228,8,6,25,7,"Personal Loan, Mortgage Loan, Mortgage Loan, Debt Consolidation Loan, Auto Loan, Payday Loan, and Personal Loan",24,26,2504.72,Yes
12350,2022-01-12,22,3439.978333333333,3,6,16,3,"Mortgage Loan, Auto Loan, and Auto Loan",28,20,2272.58,Yes
10510,2022-01-12,28,10980.25,5,4,8,2,"Auto Loan, and Home Equity Loan",23,9,664.62,No
10426,2022-01-12,56,5679.865000000002,0,4,12,3,"Home Equity Loan, Auto Loan, and Home Equity Loan",1,0,918.89,No
11925,2022-01-12,28,2987.3816666666667,3,6,12,3,"Credit-Builder Loan, Not Specified, and Mortgage Loan",9,9,509.37,No
11579,2022-01-12,32,2661.181666666667,5,5,12,0,No Loan,7,11,887.8,No
10533,2022-01-12,20,5188.3825,8,4,12,2,"Credit-Builder Loan, and Credit-Builder Loan",11,20,874.6,Yes
11933,2022-01-12,39,12139.316666666666,1,4,12,3,"Home Equity Loan, Home Equity Loan, and Auto Loan",3,2,330.98,No
11432,2022-01-12,46,2332.865,4,5,11,2,"Payday Loan, and Credit-Builder Loan",8,20,1153.62,No
10808,2022-01-12,54,5052.985,1,3,4,4,"Debt Consolidation Loan, Auto Loan, Auto Loan, and Student Loan",2,4,768.25,No
11223,2022-01-12,42,5285.7,7,7,11,4,"Personal Loan, Auto Loan, Mortgage Loan, and Credit-Builder Loan",22,9,2065.33,Yes
10666,2022-01-12,40,1545.9894225556588,8,6,24,5,"Payday Loan, Student Loan, Auto Loan, Student Loan, and Debt Consolidation Loan",25,10,2392.91,Yes
11571,2022-01-12,24,431.73625,10,5,16,5,"Personal Loan, Student Loan, Mortgage Loan, Not Specified, and Payday Loan",28,15,1285.23,Yes
12347,2022-01-12,56,4395.698333333333,3,4,7,0,No Loan,1,16,1101.31,No
11160,2022-01-12,30,4673.745,7,8,30,7,"Mortgage Loan, Not Specified, Student Loan, Mortgage Loan, Debt Consolidation Loan, Personal Loan, and Student Loan",48,24,4237.27,Yes
10832,2022-01-12,30,1404.3666666666668,4,6,6,0,No Loan,8,15,1342.68,No
11846,2022-01-12,42,7208.7075,8,3,19,7,"Personal Loan, Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Payday Loan, and Personal Loan",13,20,0.34,Yes
